"Pinterest Trends tool – https://trends.pinterest.com/?l1InterestIds=948967005229&amp;gender=female"
Selected Filters
Trends Type,Growing trends
Date Range,90 days before 2025-11-07
Interests,"Women's Fashion"
Include keywords,"All"
Age,"All"
Gender,"female"

,,,,,Data in the date columns reflects the normalized search volume for this trend type
Rank,Trend,Weekly change,Monthly change,Yearly change,2025-08-15,2025-08-22,2025-08-29,2025-09-05,2025-09-12,2025-09-19,2025-09-26,2025-10-03,2025-10-10,2025-10-17,2025-10-24,2025-10-31,2025-11-07
1,outfit ideas,"40%","-30%","20%",71,76,80,96,100,97,88,79,69,61,63,53,73
2,last minute halloween costumes,"-80%","4,000%","-5%",0,0,0,0,0,0,0,1,2,6,21,100,17
3,cool sunglasses,"-8%","200%","-40%",22,25,29,38,46,26,21,26,68,90,96,100,92
4,style core aesthetics,"20%","10%","10,000%+",86,100,66,65,67,53,70,57,72,75,67,63,73
5,outfit,"20%","-10%","70%",94,95,94,100,95,97,87,85,89,81,85,70,87
6,deer costume,"-90%","100%","100%",2,3,4,4,9,16,21,30,49,54,67,100,13
7,pumpkin patch outfit,"-90%","70%","90%",1,1,2,4,7,11,21,45,75,100,66,43,3
8,thanksgiving outfit,"20%","200%","30%",0,1,1,1,3,3,6,11,45,100,3,1,2
9,trio halloween costumes,"-80%","-30%","-1%",16,19,28,36,59,70,81,89,100,76,67,53,9
10,simple halloween costumes,"-90%","400%","2%",2,2,2,3,4,5,7,11,19,24,42,100,10
11,fall outfits women,"-20%","-20%","8%",23,35,47,67,87,82,97,100,100,93,77,58,45
12,shoes,"60%","20%","30%",97,100,93,63,51,48,43,45,44,62,54,39,60
13,layered fall fashion outfits,"100%","8%","10,000%+",0,0,0,22,69,31,35,48,100,56,51,43,93
14,little red riding hood costume,"-90%","100%","30%",4,3,5,6,14,17,24,34,56,60,67,100,15
15,costume,"-80%","40%","20%",10,13,15,22,32,39,46,55,70,69,77,100,19
16,clown costume,"-80%","100%","50%",4,6,12,12,14,20,27,36,49,55,63,100,16
17,prom dresses,"20%","-30%","-4%",72,79,86,83,100,98,91,87,79,75,66,52,62
18,mermaid costume,"-80%","10%","30%",9,9,10,14,33,41,56,73,100,93,79,84,16
19,funny halloween costumes,"-90%","40%","-9%",9,10,14,17,26,36,41,52,66,61,76,100,13
20,fall outfit,"-20%","-20%","30%",21,31,42,53,73,64,88,91,100,96,71,46,35
21,business casual outfits,"40%","-30%","0%",63,67,72,82,100,94,89,76,70,61,70,53,74
22,queen of hearts costume,"-80%","60%","3%",5,7,9,12,20,30,41,51,74,75,71,100,18
23,outfit inspo,"40%","-30%","40%",87,82,79,91,100,99,94,85,77,71,67,57,78
24,group halloween costumes,"-70%","-50%","-5%",16,21,27,43,73,87,91,97,100,71,57,38,12
25,fairy costume,"-90%","50%","-20%",9,8,10,12,21,31,39,49,70,73,69,100,15
26,witch costume,"-90%","200%","70%",3,4,5,6,8,12,16,20,31,39,54,100,10
27,strawberry shortcake costume,"-80%","-7%","20%",13,14,21,27,46,55,65,75,100,78,70,80,18
28,going out outfits,"40%","-30%","3%",76,80,84,93,100,99,98,90,78,73,72,44,60
29,unique diy costume ideas,"-100%","-20%","10,000%+",0,0,0,54,46,54,23,34,100,50,47,42,0
30,ladybug costume,"-90%","40%","300%",8,9,12,13,27,34,43,46,62,63,67,100,10
31,alice in wonderland costume,"-80%","7%","-3%",12,14,16,22,36,51,65,78,100,91,84,89,20
32,rainy day outfit,"-2%","-20%","100%",34,32,40,56,22,20,100,42,53,25,67,40,39
33,leather jacket outfit,"0%","20%","20%",39,49,55,65,72,62,74,84,84,100,94,81,81
34,bunny costume,"-80%","100%","20%",3,4,3,4,9,36,16,26,39,42,55,100,18
35,clothes,"60%","10%","30%",85,83,77,61,63,64,67,67,71,74,72,63,100
36,solo halloween costumes,"-90%","10%","30%",7,6,9,11,27,41,58,63,100,87,80,76,9
37,cheetah costume,"-80%","200%","60%",2,2,2,4,6,10,16,21,38,42,54,100,19
38,dress,"30%","0%","20%",100,94,82,77,86,86,82,80,74,81,81,71,89
39,hiking outfits and gear,"200%","-50%","10,000%+",0,0,0,27,54,41,54,100,73,35,22,22,70
40,concert outfit,"-3%","-30%","-4%",79,100,65,62,78,67,71,77,51,51,54,46,44
41,sweatpants outfit,"20%","-20%","20%",38,50,56,83,100,83,88,76,75,68,71,60,74
42,easy halloween costumes for women,"-90%","600%","70%",1,1,2,3,3,4,3,7,13,16,35,100,9
43,uggs,"60%","30%","-30%",55,60,62,60,58,59,59,64,70,78,73,64,100
44,easy couple halloween costumes,"-90%","200%","200%",1,2,3,4,6,11,14,22,36,46,61,100,9
45,harley quinn costume,"-80%","30%","1%",8,11,12,17,26,35,50,56,78,70,71,100,20
46,sailor costume,"-80%","50%","50%",7,7,7,10,24,31,47,57,86,83,83,100,21
47,cleopatra halloween costume,"-80%","3%","30%",9,11,12,15,29,42,53,73,100,82,67,71,16
48,fall outfits 2025,"-1%","-30%","10,000%+",30,35,94,93,100,71,80,77,79,74,49,33,32
49,easy costume ideas,"-90%","1,000%","30%",1,1,1,1,1,2,3,5,8,15,66,100,15
50,winter fits,"400%","300%","30%",5,6,8,7,10,12,13,9,13,43,15,18,100
